scenario,variant,replicate,method,target_function,noise_std,depth,width,parameter_count,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,objective_evaluations,acceptance_rate
function,mixed_surface,7,GD,mixed_surface,0.0,1,40,161,0.09394629114841377,0.09394629114841377,0.09394629114841377,0.08750921898501672,0.8848,0.4757620000746101,2000.0,
function,mixed_surface,7,MC,mixed_surface,0.0,1,40,161,0.16326073886024153,0.16326073886024153,0.16326073886024153,0.16353481054677588,0.90112,0.26372979218140247,2000.0,0.0338
function,mixed_surface,8,GD,mixed_surface,0.0,1,40,161,0.11854083367963412,0.11854083367963412,0.11854083367963412,0.10948040066006204,0.888,0.4699594578705728,2000.0,
function,mixed_surface,8,MC,mixed_surface,0.0,1,40,161,0.16665722715429793,0.16665722715429793,0.16665722715429793,0.16748070571334464,0.9087999999999999,0.26660768296569587,2000.0,0.0231
function,mixed_surface,9,GD,mixed_surface,0.0,1,40,161,0.11301622164028567,0.11301622164028567,0.11301622164028567,0.10422699514602471,0.8832,0.4690180409234017,2000.0,
function,mixed_surface,9,MC,mixed_surface,0.0,1,40,161,0.16264271866754193,0.16264271866754193,0.16264271866754193,0.1627240667416768,0.90016,0.2699895999394357,2000.0,0.0376
function,mixed_surface,10,GD,mixed_surface,0.0,1,40,161,0.0900370590799395,0.0900370590799395,0.0900370590799395,0.08455624732419546,0.8928,0.4816856251563877,2000.0,
function,mixed_surface,10,MC,mixed_surface,0.0,1,40,161,0.16400854344049795,0.16400854344049795,0.16400854344049795,0.1652247731185195,0.90496,0.2749887167941779,2000.0,0.033800000000000004
function,mixed_surface,11,GD,mixed_surface,0.0,1,40,161,0.10215258079198022,0.10215258079198022,0.10215258079198022,0.09464270980148948,0.888,0.46139912493526936,2000.0,
function,mixed_surface,11,MC,mixed_surface,0.0,1,40,161,0.16231214135244817,0.16231214135244817,0.16231214135244817,0.16321985647092305,0.90176,0.2578884165734053,2000.0,0.0308
function,sin_pi,0,GD,sin_pi,0.0,1,40,121,0.001985642889293645,0.001985642889293645,0.001985642889293645,0.001918349226667956,0.305,0.2006101249717176,2000.0,
function,sin_pi,0,MC,sin_pi,0.0,1,40,121,0.00534407999280268,0.00534407999280268,0.00534407999280268,0.005100061016426118,0.601,0.12887489977292715,2000.0,0.09
function,sin_pi,1,GD,sin_pi,0.0,1,40,121,0.003205947713362968,0.003205947713362968,0.003205947713362968,0.00307562636984101,0.46,0.19551674998365343,2000.0,
